municipality_code,latitude,longitude
02201,40.82875,140.71401
02201,40.82882,140.72267
02201,40.82895,140.69189
02201,40.82907,140.80923
02201,40.82909,140.74794
02201,40.82914,140.69517
02201,40.82914,140.73794
02201,40.82919,140.75235
02201,40.82941,140.79441
02201,40.82943,140.8115
02201,40.82954,140.77802
02201,40.82957,140.83368
02201,40.83001,140.78838
02201,40.83004,140.80629
02201,40.83011,140.70606
02201,40.8302,140.78383
02201,40.83025,140.81529
02201,40.83029,140.80381
02201,40.83055,140.71876
02201,40.83056,140.84509
02201,40.83092,140.68892
02201,40.83098,140.79946
02201,40.83122,140.83085
02201,40.83126,140.81685
02201,40.83138,140.82055
02201,40.83138,140.84304
02201,40.83149,140.75934
02201,40.83156,140.77114
02201,40.83179,140.80945
02201,40.83199,140.76478
02201,40.832,140.69539
02201,40.83201,140.79334
02201,40.83205,140.69186
02201,40.83205,140.80474
02201,40.8321,140.70367
02201,40.83232,140.78606
02201,40.83285,140.73013
02201,40.83313,140.71169
02201,40.8335,140.81317
02201,40.83373,140.79681
02201,40.83377,140.82441
02201,40.83383,140.80189
02201,40.83386,140.69512
02201,40.83386,140.7047
02201,40.834,140.82252
02201,40.83421,140.7259
02201,40.83426,140.81083
02201,40.83431,140.8076
02201,40.83449,140.72028
02201,40.83471,140.80053
02201,40.83476,140.82113
02201,40.83478,140.7918
02201,40.83483,140.6949
02201,40.83528,140.68843
02201,40.8355,140.71469
02201,40.83556,140.82035
02201,40.83577,140.81405
02201,40.83597,140.80621
02201,40.83641,140.72083
02201,40.8366,140.85029
02201,40.83664,140.80076
02201,40.83668,140.70873
02201,40.83736,140.70489
02201,40.83742,140.72288
02201,40.83742,140.81312
02201,40.83767,140.80464
02201,40.83837,140.80129
02201,40.83856,140.66873
02201,40.83864,140.68589
02201,40.83866,140.82737
02201,40.83873,140.83697
02201,40.83954,140.80932
02201,40.83964,140.82231
02201,40.83986,140.81806
02201,40.84015,140.71377
02201,40.84088,140.80836
02201,40.8409,140.68685
02201,40.84107,140.81426
02201,40.84109,140.81537
02201,40.84129,140.67093
02201,40.84148,140.71724
02201,40.84166,140.72094
02201,40.84176,140.67158
02201,40.84223,140.8233
02201,40.84238,140.80715
02201,40.84239,140.6845
02201,40.84269,140.70796
02201,40.8432,140.71136
02201,40.84363,140.81178
02201,40.84465,140.84584
02201,40.84486,140.70251
02201,40.84522,140.83883
02201,40.84581,140.70588
02201,40.8462,140.83453
02201,40.84684,140.81327
02201,40.84695,140.69542
02201,40.84728,140.83854
02201,40.84754,140.84322
02201,40.84816,140.67697
02201,40.84817,140.84669
02201,40.84884,140.84419
02201,40.84887,140.69291
02201,40.84895,140.66882
02201,40.84911,140.69805
02201,40.84911,140.81937
02201,40.84913,140.83726
02201,40.84917,140.69585
02201,40.84965,140.68872
02201,40.85082,140.69863
02201,40.85129,140.8262
02201,40.85234,140.85251
02201,40.85291,140.68378
02201,40.85461,140.84023
02201,40.85498,140.69601
02201,40.85699,140.68614
02201,40.85721,140.82835
02201,40.85746,140.65571
02201,40.85838,140.82625
02201,40.85889,140.69271
02201,40.86088,140.68473
02201,40.86689,140.67789
02201,40.86855,140.84586
02201,40.8699,140.85764
02201,40.87139,140.859
02201,40.87373,140.68173
02201,40.87402,140.66815
02201,40.8758,140.85174
02201,40.87668,140.67849
02201,40.87973,140.67625
02201,40.88064,140.66459
02201,40.88213,140.67876
02201,40.8847,140.67686
02201,40.88595,140.86153
02201,40.88768,140.67502
02201,40.88843,140.86595
02201,40.88929,140.66467
02201,40.89107,140.6754
02201,40.89137,140.86265
02201,40.8925,140.87512
02201,40.89389,140.67478
02201,40.89603,140.67459
02201,40.89627,140.64973
02201,40.89757,140.86273
02201,40.89922,140.67344
02201,40.89922,140.85943
02201,40.90373,140.6697
02201,40.90449,140.65731
02201,40.90883,140.661
02201,40.91454,140.65048
02201,40.92151,140.64703
02201,40.9293,140.64951
02201,40.93725,140.63902
02201,40.94754,140.6382
02202,40.51419,140.45506
02202,40.53422,140.37104
02202,40.53719,140.47104
02202,40.53851,140.55177
02202,40.54008,140.45308
02202,40.54108,140.42591
02202,40.54228,140.43177
02202,40.54243,140.46104
02202,40.54255,140.5498
02202,40.54286,140.51078
02202,40.5434,140.5533
02202,40.54395,140.54862
02202,40.54433,140.48538
02202,40.54458,140.53251
02202,40.54472,140.4947
02202,40.54485,140.55183
02202,40.54511,140.5634
02202,40.5453,140.56609
02202,40.54533,140.54824
02202,40.54624,140.46081
02202,40.5463,140.53474
02202,40.54654,140.45216
02202,40.54677,140.51725
02202,40.547,140.44659
02202,40.54717,140.46524
02202,40.5474,140.55001
02202,40.54754,140.5703
02202,40.54787,140.51404
02202,40.54808,140.56205
02202,40.54821,140.53515
02202,40.54828,140.51235
02202,40.54842,140.54179
02202,40.5487,140.53594
02202,40.54881,140.52086
02202,40.54896,140.56923
02202,40.54922,140.55184
02202,40.54943,140.5245
02202,40.54955,140.48961
02202,40.54972,140.54079
02202,40.54976,140.5482
02202,40.54977,140.56205
02202,40.54986,140.46492
02202,40.54994,140.51893
02202,40.54994,140.56451
02202,40.55036,140.54284
02202,40.55036,140.5575
02202,40.55053,140.55015
02202,40.55056,140.55572
